"Rider","Pos","Country","Team","Stage","Start_Location","End_Location","Stage_Type","Stage_Distance","Time_total","Velocity_kmh","Velocity_mph","Classification"
"Alexander Kristoff",1,"Norway","UAE TEAM EMIRATES","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77027777777778,41.3762616960141,25.7155137949125,"Senior"
"Mads PEDERSEN",2,"Denmark","TREK - SEGAFREDO","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77138888888889,41.3640715916624,25.7079375958125,"Young"
"Cees Bol",3,"Netherlands","TEAM SUNWEB","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77194444444444,41.3579792326386,25.7041511700675,"Young"
"Sam Bennett",4,"Ireland","DECEUNINCK - QUICK - STEP","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Peter Sagan",5,"Slovakia","BORA - HANSGROHE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Elia Viviani",6,"Italy","COFIDIS","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Giacomo Nizzolo",7,"Italy","NTT PRO CYCLING TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Bryan Coquard",8,"France","B&B HOTELS - VITAL CONCEPT P / B KTM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Anthony Turgis",9,"France","TOTAL DIRECT ENERGIE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Jasper Stuyven",10,"Belgium","TREK - SEGAFREDO","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Oliver Naesen",11,"Belgium","AG2R LA MONDIALE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Matteo Trentin",12,"Italy","CCC TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Clement VENTURINI",13,"France","AG2R LA MONDIALE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Luka Mezgec",14,"Slovenia","MITCHELTON - SCOTT","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Hugo Houle",15,"Canada","ASTANA PRO TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Sergio Andres HIGUITA GARCIA",16,"Colombia","EF PRO CYCLING","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Tadej POGACAR",17,"Slovenia","UAE TEAM EMIRATES","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Connor SWIFT",18,"England","TEAM ARKEA - SAMSIC","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Caleb Ewan",19,"Australia","LOTTO SOUDAL","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Christophe Laporte",20,"France","COFIDIS","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Jonas Koch",21,"Germany","CCC TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
